date,opponent,team,assistant,finisher,assists
2018-01-04,HOU,GSW,Andre Iguodala,Klay Thompson,4
2018-01-04,HOU,GSW,Draymond Green,Stephen Curry,4
2018-01-04,HOU,GSW,Klay Thompson,Draymond Green,1
2018-01-04,HOU,GSW,Stephen Curry,Zaza Pachulia,1
2018-01-04,HOU,GSW,Stephen Curry,Andre Iguodala,1
2018-01-04,HOU,GSW,Patrick McCaw,Klay Thompson,1
2018-01-04,HOU,GSW,Stephen Curry,Nick Young,1
2018-01-04,HOU,GSW,Nick Young,David West,1
2018-01-04,HOU,GSW,Draymond Green,Nick Young,1
2018-01-04,HOU,GSW,Draymond Green,David West,2
2018-01-04,HOU,GSW,David West,Klay Thompson,1
2018-01-04,HOU,GSW,Shaun Livingston,David West,1
2018-01-04,HOU,GSW,Andre Iguodala,Stephen Curry,1
2018-01-04,HOU,GSW,Draymond Green,Klay Thompson,2
2018-01-04,HOU,GSW,Patrick McCaw,Draymond Green,1
2018-01-04,HOU,GSW,Zaza Pachulia,Stephen Curry,1
2018-01-04,HOU,GSW,Klay Thompson,Andre Iguodala,2
2018-01-04,HOU,GSW,Andre Iguodala,Zaza Pachulia,1
2018-01-04,HOU,GSW,Draymond Green,Kevon Looney,1
2018-01-04,HOU,GSW,Stephen Curry,Kevon Looney,1
2018-01-04,HOU,GSW,Patrick McCaw,Nick Young,1
2018-01-04,HOU,GSW,Klay Thompson,Nick Young,1
2018-01-04,HOU,GSW,David West,Draymond Green,1
2018-01-04,HOU,GSW,Stephen Curry,Klay Thompson,1
2018-01-04,HOU,GSW,Andre Iguodala,Patrick McCaw,1
2018-01-04,HOU,GSW,Andre Iguodala,Draymond Green,1
